,Node 1,Node 2,Node 3,Node 4,Node 5,Node 6,Node 7,Node 8,Node 9
Time (raw),TDS (Volts),TDS (Volts),TDS (Volts),TDS (Volts),TDS (Volts),TDS (Volts),TDS (Volts),TDS (Volts),TDS (Volts)
0.001094493,0.0032,0,0,0,0,0.0071,0.0036,0,0
0.001104609,0,0,0,0,0,0,0.0036,0,0
0.001114725,0.0032,0,0,0,0,0,0.0143,0,0
0.001124841,0,0,0,0,0,0,0.0036,0,0
0.001134956,0.0032,0,0,0,0,0,0.0036,0,0
0.001145072,0,0,0,0,0,0.0106,0.0143,0,0
0.001155188,0,0,0,0,0,0,0.0143,0,0
0.001165304,0.0032,0,0,0,0,0,0.0143,0,0
0.001175419,0.0032,0,0,0,0,0,0.0143,0,0
0.001185536,0.0032,0,0,0,0,0,0.0036,0,0
0.001195652,0.0032,0,0,0,0,0,0.0036,0,0
0.001205767,0.0032,0,0,0,0,0.0071,0.0143,0,0
0.001215883,0.0032,0,0,0,0,0.0071,0.0036,0,0
0.001225999,0,0,0,0,0,0,0.0036,0,0
0.001236115,0.0032,0,0,0,0,0,0.0036,0,0
0.001246231,0.0032,0,0,0,0,0,0.0036,0,0
0.001256346,0.0032,0,0,0,0,0.0071,0.0143,0,0
0.001266462,0.0032,0,0,0,0,0.0071,0.0036,0,0
0.001276578,0.0032,0,0,0,0,0.0071,0.0036,0,0
0.001286694,0,0,0,0,0,0,0,0,0
0.001296809,0.0032,0,0,0,0,0,0.0036,0,0
0.001306926,0.0032,0,0,0,0,0.0071,0.0036,0,0
0.001317042,0.0032,0,0,0,0,0,0,0,0
0.001327158,0.0032,0,0,0,0,0,0,0,0
0.001337273,0.0032,0,0,0,0,0,0.0036,0,0
0.001347389,0,0,0,0,0,0.0071,0.0143,0,0
0.001357505,0.0032,0,0,0,0,0.0106,0.0036,0,0
0.001367621,0,0,0,0,0,0,0.0036,0,0
0.001377737,0.0032,0,0,0,0,0,0.0036,0,0
0.001387852,0,0,0,0,0,0,0.0036,0,0
0.001397968,0.0032,0,0,0,0,0.0071,0,0,0
0.001408084,0,0,0,0,0,0,0.0036,0,0
0.001418201,0,0,0,0,0,0,0.0143,0,0
0.001428316,0,0,0,0,0,0,0,0,0
0.001438432,0.0032,0,0,0,0,0.0106,0.0036,0,0
0.001448548,0.0032,0,0,0,0,0.0106,0.0036,0,0
0.001458664,0.0032,0,0,0,0,0,0.0143,0,0
